Street,Town,Age,Month/Year,G1,G1
,,29,Aug-19,246903,246903
Billacombe Road,Plymouth,17,Mar-19,,
Billacombe Road,Plymouth,17,Mar-19,,
Billacombe Road,Plymouth,16,Mar-19,,
BILLACOMBE ROAD,PLYMOUTH,16,Mar-19,,
,,48,Apr-19,248187,248187
,,58,May-19,247453,247453
,,21,May-19,247499,247499
Armada Way,Plymouth,45,May-19,,
Armada Way,Plymouth,19,May-19,,
Armada Way,Plymouth,39,May-19,,
,,66,May-19,248214,248214
,,26,Apr-19,246424,246424
North HILL,PLYMOUTH,25,May-19,,
,,25,May-19,248169,248169
,,50,May-19,248210,248210
2-4 Drakes Circus,PLYMOUTH,40,May-19,,
NEW George STREET,PLYMOUTH,37,May-19,,
,,25,Apr-19,250822,250822
,,24,Apr-19,250820,250820
,,23,Apr-19,250818,250818
,,15,Apr-19,248194,248194
,,20,May-19,247447,247447
Mayflower Street,Plymouth,51,May-19,,
Armada Way,Plymouth,24,May-19,,
Armada Way,Plymouth,42,May-19,,
Armada Way,Plymouth,19,May-19,,
Cecil Street,Plymouth,15,Apr-19,,
,,28,May-19,247469,247469
Amarda Centre,Plymouth,29,May-19,,
Wolsdon Street,Plymouth,38,Mar-19,,
Cecil Street,Plymouth,39,Apr-19,,
Mayflower Street,Plymouth,25,Apr-19,,
Mayflower Road,Plymouth,30,Apr-19,,
Western Approach,Plymouth,30,Apr-19,,
Royal parade,Plymouth,30,Apr-19,,
Commercial Wharf,Plymouth,37,Apr-19,,
,,32,May-19,247428,247428
Armada Centre,Plymouth,24,May-19,,
Armada Centre,Plymouth,45,May-19,,
Armada Centre,Plymouth,33,May-19,,
Panier Market,Plymouth,57,May-19,,
Whard Road,St. Ives,18,Jul-19,,
,,31,Jul-19,247300,247300
,,38,Jul-19,248186,248186
,,25,Aug-19,248241,248241
,,24,May-19,248167,248167
,,38,Jul-19,248184,248184
,,51,Jul-19,248186,248186
,,20,Jul-19,151707,151707
,,36,Sep-19,247760,247760
,,44,May-19,248183,248183
,,52,Jun-19,248193,248193
,,26,Jul-19,164367,164367
,,52,May-19,248157,248157
,,14,Jul-19,248174,248174
,,25,Jul-19,248195,248195
,,14,Sep-19,248256,248256
,,36,Sep-19,248124,248124
,,38,May-19,295796,295796
,,29,May-19,295782,295782
,,71,May-19,295777,295777
,,21,May-19,247936,247936
,,35,Jul-19,286868,286868
,,16,Aug-19,246218,246218
UNION STREET,PLYMOUTH,26,Sep-19,,
,,33,Apr-19,125,125
PORTLAND Square,Plymouth,45,May-19,,
,,52,Aug-19,246429,246429
Clarence PLACE,Plymouth,52,Aug-19,,
,,23,Sep-19,248168,248168
Crownhill Village Carpark,Plymouth,32,Sep-19,,
,,37,Sep-19,248178,248178
,,58,Apr-19,295764,295764
,,38,May-19,295724,295724
,,46,Aug-19,248196,248196
,,21,Aug-19,247081,247081
,,16,Aug-19,248237,248237
,,33,Sep-19,248069,248069
,,48,Jun-19,518,518
High Street,Plymouth,28,Sep-19,,
,,15,Sep-19,243623,243623
Coypool Road,Plymouth,29,Aug-19,,
,,18,Aug-19,280757,280757
Embankment Road,Plymouth,48,May-19,,
